"","x"
"1","The food was good. Understaffed beyond belief! Servers running around like crazy, food taking forever to come out of the kitchen (can't really be the servers fault because the orders are being sent in from the handheld device at the table). We split our group in two because the wait was so long, and one table got food 25 minutes before the other, both ordered at the same time.From the sound of it, this is a normal occurrence when they get busy. If they are anywhere close to full, you might want to pick somewhere else."
"2","Great place for breakfast...love M @ M Omlets! And corned beef hash!"
"3","Oh how I wish there were options here past 10pm. We arrived, sat down, waited, waited, waited, witnessed waitresses fighting, waited, waited, were approached by a waitress, ordered, waited, waited, waited, waited. We watched tables just get up and leave, waited, waited. Watched tables ask for their check and wait, we waited, waited, waited. We are still waiting, but about to leave (it's been over an hour now). Our less than mediocre wings arrived, delivered by a server we hadn't seen before or would see again. 30 minutes later a server walked by, we caught their attention and asked for the check.I didn't expect much and we didn't get much but they still managed to disappoint us! Well done."
"4","Server was nice..but food took wayyy too long. We were there for two hours! Got two cokes an app and 2 orders of wings. Table was sticky also"
"5","They allow the Mom's to bring their kids to the bar???? I guess if you say something it would be worse, smh."
"6","Bdubs Bdubs, the only consistency I have found when dining at Bdubs is slow service and poor quality of food. Bdubs amazes me to take their time to take our order and serve us food. The group that I was with waited 20-30 minutes to get our orders taken, and then almost another hour to get our food. In addition, the food itself is greasy and lacking flavor. Bdubs is the place to visit to watch TV, and spend money on overpriced, low quality food."
"7","The sauce is great and there are a ton of TVs. That's really the end of the good things about this place. Every time I go there I'm disappointed with the service. Servers and bartenders don't to care very much about customer service and generally take their time getting around to you. I've been eating their wings since way back when they were still called BW3, so every few months I get nostalgic and think let me give it another shot. But I don't bother dining in anymore, it's strictly a carry out affair now."
"8","DON'T WASTE YOUR TIME! I came to celebrate my sister's graduation and the service here was terrible. Our table of 5 waited 15 minutes for our fountain drinks alone. We waited another 20+ minutes for an appetizer and when we asked the waitress for silverware she brought us plastic utinsils. After waiting a while longer for the food our waitress shared with the table there was a mix up with our orders and that our ticket was lost. We were at the establishment for over 50 minutes with only an appitizer and no refills on our drinks. We ended up leaving hungry  after talking to the manager. This place would be getting 1 star, but their manger showed his concern with our disappointment and made an effort to turn the night around. Nevertheless, I would not recommend."
"9","Update on my previous review. It's hard for me to knock a rating down, but the service is just...something else. I love me some chicken wings and their potato wedges, but it's not really possible to go in for a quick meal. Maybe that is why their takeout is so popular. I'd still come to Bdubs, but just plan your time accordingly."
"10","I returned here with my parents on a Sunday night because they wanted to watch a football game. I've been told multiple times, ""What do you expect? It's bar food!"" with regard to places like Buffalo Wild Wings, but I was newly disappointed on this occasion. Our server was pleasant but seemed not to be able to answer questions directly, which was moderately annoying. It's been a few days and I was very tired, so I don't remember what question was asked, but I do remember that moment being one where I had to re-ask the question to get answer. It was also pretty dead in there and it took a long while for our food to arrive.With regard to the food, my father ordered the popcorn shrimp as an appetizer. It was ok, but pretty bland. Basically deep fried shrimp. The sauce alongside it was especially mediocre; barely even cocktail sauce with no spice to it. I ordered as an entree the shrimp po'boy. Now this dish was a complete disappointment. Basically, it's the popcorn shrimp inside of a bun with some vegetables and a creamy mayonnaise. I know I'll be dragged back here by my parents, but I will attempt to avoid this place until then. I honestly hope this location closes and a local business takes over. Expansion for the Fairmount or Luna? That would be awesome."
